Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_PHISHING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Nintendo Switch Online,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,13236,0,13236,0,1.3,0,0,0,286,0,,,,,,,,,,
